solver,hc_simple,hc_gaussian_1,hc_gaussian_2,hc_simple_cc,sage
graph0359.hcp,20.164,22.183,22.094,49.290,128.200
graph0360.hcp,20.315,22.570,16.664,75.683,*
graph0362.hcp,.840,.912,.881,275.555,*
graph0363.hcp,.842,.926,.881,242.579,*
graph0365.hcp,9.597,10.228,10.215,55.459,61.280
graph0366.hcp,19.751,27.429,19.275,78.498,*
graph0367.hcp,.745,.743,.746,2.640,4.840
graph0368.hcp,25.933,28.478,29.247,48.526,62.840
graph0371.hcp,25.008,31.614,21.543,65.231,*
graph0372.hcp,.843,.926,.897,257.990,*
graph0373.hcp,32.165,37.253,37.082,56.827,60.650
graph0374.hcp,8.180,10.415,6.907,83.881,*
graph0375.hcp,1.080,1.176,1.129,309.575,*
graph0376.hcp,.795,.872,.857,246.917,*
graph0377.hcp,.646,.720,.711,318.522,*
graph0378.hcp,29.777,35.820,35.781,52.895,77.800
graph0379.hcp,2.365,2.418,2.099,84.928,*
graph0380.hcp,7.887,10.687,6.489,74.752,*
graph0381.hcp,27.047,30.016,29.675,55.824,85.210
graph0382.hcp,.820,.821,.819,2.767,3.980
graph0383.hcp,7.449,7.756,6.078,*,*
graph0385.hcp,.806,.802,.781,282.501,*
graph0386.hcp,26.438,32.530,23.763,81.731,*
graph0387.hcp,38.566,42.402,42.218,49.582,73.570
graph0389.hcp,22.544,30.843,20.435,70.834,*
graph0390.hcp,17.802,20.882,20.343,62.144,64.240
graph0391.hcp,1.155,1.244,1.159,345.092,*
graph0393.hcp,24.951,28.232,18.211,77.411,*
graph0394.hcp,32.225,40.370,40.520,97.603,63.200
graph0395.hcp,.862,.858,.863,3.782,11.260
graph0396.hcp,35.719,38.852,29.142,89.512,*
graph0397.hcp,.748,.831,.837,322.917,*
graph0398.hcp,5.643,6.432,6.439,77.982,88.810
graph0399.hcp,29.600,38.593,24.881,89.895,*
graph0400.hcp,.828,.909,.889,333.984,*
graph0401.hcp,1.114,1.065,1.004,289.393,*
graph0403.hcp,3.542,3.570,3.016,88.088,*
graph0404.hcp,17.633,19.106,18.771,81.356,73.580
graph0405.hcp,2.169,2.194,1.926,83.621,*
graph0408.hcp,8.132,10.295,7.253,85.085,*
graph0410.hcp,23.429,28.010,27.880,62.971,122.630
graph0411.hcp,20.589,23.140,14.966,99.032,*
graph0413.hcp,.931,.937,.934,3.627,5.660
graph0414.hcp,.832,.883,.856,324.840,*
graph0415.hcp,15.621,17.607,17.701,61.131,109.470
graph0417.hcp,34.422,46.463,32.801,89.132,*
graph0420.hcp,15.300,18.452,18.610,93.867,116.420
graph0423.hcp,47.059,52.241,35.077,101.827,*
graph0426.hcp,7.002,7.726,6.124,*,*
graph0427.hcp,63.002,80.485,55.123,89.665,*
graph0428.hcp,22.036,23.890,23.730,100.285,*
graph0430.hcp,.466,.468,.466,3.415,6.330
graph0431.hcp,7.231,7.435,5.851,*,*
graph0432.hcp,8.536,9.834,6.996,*,*
